id,symbol,year,current_assets,cash,receivables,inventory,non_current_assets,loan,equipment,goodwill,long_term_investment,total_assets,long_term_debts
1,RELIANCE,2018,183786,61858,17555,60837,627487,0,564066,26841,25259,811273,164385
2,RELIANCE,2019,227386,82104,30089,67561,770244,0,545993,31844,164612,997630,226345
3,RELIANCE,2020,258260,103835,19656,73903,904755,0,610756,31008,203852,1163015,216470
4,RELIANCE,2021,373011,169843,19014,81672,947054,0,641438,25773,212382,1320065,182520
5,TCS,2018,81224,42868,24943,26,23902,0,11494,1757,301,105126,54
6,TCS,2019,92131,41939,27346,10,21770,0,11399,1854,239,113901,44
7,TCS,2020,90237,35806,30532,5,29883,0,19856,1978,216,120120,6906
8,TCS,2021,99280,38489,30079,8,30712,0,19674,2273,213,129992,6503
9,HDFCBANK,2018,123061.55,123061.55,0,0,980171.21,700033.84,4008.13,0,238460.92,1103232.76,156442.08
10,HDFCBANK,2019,81817.64,81817.64,0,0,1210988.06,869222.66,4368.63,0,289445.87,1292805.7,157732.78
11,HDFCBANK,2020,87940.11,87940.11,0,0,1492890.33,1043670.88,4775.65,0,389304.95,1580830.44,186834.32
12,HDFCBANK,2021,121272.52,121272.52,0,0,1678234.11,1185283.52,5248.35,0,438823.11,1799506.63,177696.75
13,INFY,2018,50017,26225,13142,0,29332,0,11955,2225,5756,79349,0
14,INFY,2019,52878,26195,14827,0,31188,0,13503,3595,4634,84066,0
15,INFY,2020,54576,23304,18487,0,37224,0,19282,5461,4137,91800,4014
16,INFY,2021,60733,27056,19294,0,46778,0,20154,6273,11863,107511,4587
17,HINDUNILVR,2018,11660,6356,1310,2513,6202,0,4550,439,2,17862,0
18,HINDUNILVR,2019,11914,6471,1816,2574,6715,0,4635,486,2,18629,0
19,HINDUNILVR,2020,12321,6366,1149,2767,7832,0,5600,476,2,20153,0
20,HINDUNILVR,2021,14217,7178,1758,3579,54523,0,6971,45217,2,68740,0
