id,name,symbol,url,sector,sub_sector,market_cap,risk
1,Reliance Industries Limited,RELIANCE,https://tickertape.in/stocks/reliance-industries-RELI,Energy,Oil & Gas - Refining & Marketing,1638328,Low
2,Tata Consultancy Services Limited,TCS,https://tickertape.in/stocks/tata-consultancy-services-TCS,Information Technology,IT Services & Consulting,1436988,Low
3,HDFC Bank Limited,HDFCBANK,https://tickertape.in/stocks/hdfc-bank-HDBK,Financials,Private Banks,847183,Low
4,Infosys Limited,INFY,https://tickertape.in/stocks/infosys-INFY,Information Technology,IT Services & Consulting,795891,Low
5,Hindustan Unilever Limited,HINDUNILVR,https://tickertape.in/stocks/hindustan-unilever-HLL,Consumer Staples,FMCG - Household Products,564195,Low
6,Housing Development Finance Corporation Limited,HDFC,https://tickertape.in/stocks/housing-development-finance-corporation-HDFC,Financials,Home Financing,484499,Low
7,ICICI Bank Limited,ICICIBANK,https://tickertape.in/stocks/icici-bank-ICBK,Financials,Private Banks,536616,Low
8,Kotak Mahindra Bank Limited,KOTAKBANK,https://tickertape.in/stocks/kotak-mahindra-bank-KTKM,Financials,Private Banks,367987,Low
9,State Bank of India,SBIN,https://tickertape.in/stocks/state-bank-of-india-SBI,Financials,Public Banks,431504,Moderate
10,Bajaj Finance Limited,BAJFINANCE,https://tickertape.in/stocks/bajaj-finance-BJFN,Financials,Consumer Finance,442450,Moderate
11,Bharti Airtel Limited,BHARTIARTL,https://tickertape.in/stocks/bharti-airtel-BRTI,Communication Services,Telecom Services,451725,Low
12,ITC Limited,ITC,https://tickertape.in/stocks/itc-ITC,Consumer Staples,FMCG - Tobacco,271406,Low
13,HCL Technologies Limited,HCLTECH,https://tickertape.in/stocks/hcl-technologies-HCLT,Information Technology,IT Services & Consulting,361853,Low
14,Asian Paints Limited,ASIANPAINT,https://tickertape.in/stocks/asian-paints-ASPN,Materials,Paints,331738,Low
15,Wipro Limited,WIPRO,https://tickertape.in/stocks/wipro-WIPR,Information Technology,IT Services & Consulting,394215,Low
