id,symbol,year,total_revenue,raw_material_cost,power_cost,employee_cost,administrative_cost,operating_cost,pbt,net_income
1,RELIANCE,2018,401685,276076,14569,9523,29111,-1778,49426,36075
2,RELIANCE,2019,577698,399167,17029,12488,50221,6137,55227,39588
3,RELIANCE,2020,610806,410288,15098,14075,62622,10887,53606,39354
4,RELIANCE,2021,505153,301765,13214,14817,56154,15981,55461,49128
5,TCS,2018,126746,86,0,66396,16808,7298,34092,25826
6,TCS,2019,150774,40,0,78246,20387,8284,41563,31472
7,TCS,2020,161541,18,0,85952,20527,8343,42248,32340
8,TCS,2021,167311,14,0,91814,18322,8699,43760,32430
9,HDFCBANK,2018,101344.44,0,0,9193.9,4976.65,57743.18,28463.93,18510.03
10,HDFCBANK,2019,124107.79,0,0,10451.15,5187.3,72930.51,34318.16,22332.43
11,HDFCBANK,2020,147068.26,0,0,12920.13,5489.56,89186.95,38194.85,27253.95
12,HDFCBANK,2021,155885.27,0,0,13676.67,6435.33,91592.12,42796.14,31833.2
13,INFY,2018,73833,0,207,38893,4594,8006,20270,16029
14,INFY,2019,85557,0,221,45315,5561,11408,21041,15404
15,INFY,2020,93594,0,229,50887,5383,12025,22007,16594
16,INFY,2021,102673,0,143,55541,3200,13699,26628,19351
17,HINDUNILVR,2018,36016,14233,295,1860,7252,4524,7306,5214
18,HINDUNILVR,2019,39860,15845,308,1875,7796,4834,8604,6054
19,HINDUNILVR,2020,40487,15697,299,1820,7620,4766,9165,6748
20,HINDUNILVR,2021,47555,20141,339,2358,7906,5015,10605,7995
21,HDFC,2018,85755.96,0,0,3394.4,2745.53,63292.3,16207.25,11979.9
22,HDFC,2019,103584.69,0,0,2967.37,47355.63,31021.26,22098.96,16231.76
23,HDFC,2020,107542,0,0,1356.66,41258.55,38477.43,26193.25,21434.57
24,HDFC,2021,145992.71,0,0,1700.67,87205.48,32493.91,24237.3,18740.06
25,ICICIBANK,2018,118969.1,0,0,8333.53,5704.35,93030.62,10978.46,7712.18
26,ICICIBANK,2019,131306.5,0,0,9425.26,7210.07,106317.07,7408.26,4254.24
27,ICICIBANK,2020,149786.1,0,0,11156.75,8164.61,110704.92,18588.6,9566.3
28,ICICIBANK,2021,161336.47,0,0,11050.91,8593.95,114323.21,26028.33,18384.31
29,KOTAKBANK,2018,38813.31,0,0,4380.9,3768.81,21121.94,9158.23,6200.98
30,KOTAKBANK,2019,45979.11,0,0,4850.9,7262,22832.08,10575.71,7204.12
31,KOTAKBANK,2020,50365.74,0,0,5755.97,4390.44,28332.64,11421.8,8593.36
32,KOTAKBANK,2021,56814.77,0,0,5855.7,4094.47,33235.21,13168.34,9990.21
33,SBIN,2018,306527.67,0,0,35410.62,13216.19,267040.7,-12244.91,-4556.29
34,SBIN,2019,330687.36,0,0,43795.01,13891.07,264284.89,5220.5,2299.66
35,SBIN,2020,368010.65,0,0,48850.54,14797.71,270384.25,30316.59,19767.8
36,SBIN,2021,385337.89,0,0,54330.83,15180.01,279320.03,32795.96,22405.45
37,BAJFINANCE,2018,12756.84,0,0,1433.62,1409.2,5968.51,3843.44,2496.37
38,BAJFINANCE,2019,18500.18,0,0,1938.53,1732.95,8505.39,6179.16,3994.99
39,BAJFINANCE,2020,26385.64,0,0,2547.96,2263.8,13957.13,7322.12,5263.75
40,BAJFINANCE,2021,26683.05,0,0,2498.67,2010.42,15856.43,5992.26,4419.82
41,BHARTIARTL,2018,85655.2,0,6908.2,3977.1,6023.1,36911.2,3267,1099
42,BHARTIARTL,2019,86245.2,0,8043.6,3797.5,5337.7,38828.5,-1731.8,409.5
43,BHARTIARTL,2020,91337.5,0,8209.4,3513.7,4548.5,77074.9,-43176.6,-32183.2
44,BHARTIARTL,2021,112386.1,0,9853.8,4114.6,4787.8,52566,-3431.5,-15083.5
45,ITC,2018,45701.28,14827.72,653.5,3760.9,3954.87,3743.89,17409.11,11271.2
46,ITC,2019,50538.17,17623.52,746.73,4177.88,4546.39,2825.82,19149.82,12592.33
47,ITC,2020,52010.16,18048.6,780.85,4295.79,4488.63,2635.43,20034.57,15306.23
48,ITC,2021,51905.34,20776.71,699.56,4463.33,4236.77,2087.24,17938.17,13161.19
49,HCLTECH,2018,51799,1251,313,24729,2810,10220,11024,8721
50,HCLTECH,2019,61370,1615,336,29283,3519,11748,12622,10120
51,HCLTECH,2020,71265,1536,307,34928,3050,13539,13980,11057
52,HCLTECH,2021,76306,1698,275,38853,1681,12824,15853,11145
53,ASIANPAINT,2018,17160.96,8128.17,110.3,1115.48,2261.33,2005.26,3138.48,2038.93
54,ASIANPAINT,2019,19513.9,9974.4,119.63,1236.83,2372.73,1771.6,3306.1,2155.92
55,ASIANPAINT,2020,20566.3,9981.99,97.79,1366.09,2316.69,2291.87,3629.04,2705.17
56,ASIANPAINT,2021,22044.44,10425.55,86.05,1540.75,2252.55,2552.29,4304.35,3139.29
57,WIPRO,2018,57036.9,1843.4,0,27222.3,13853.3,1181,10242.2,8002.8
58,WIPRO,2019,61632.7,1407.3,0,29977.4,14796.3,1225.3,11542.2,9003.7
59,WIPRO,2020,63865.5,936,0,32657.1,14350.4,851.8,12251.9,9722.3
60,WIPRO,2021,64338.6,695.7,0,33237.1,12523.8,706.9,13902.9,10796.4
61,AXISBANK,2018,58476.68,0,0,5414.44,3236.52,48669.25,565.89,455.82
62,AXISBANK,2019,70232.4,0,0,5989.87,3581.34,52331.96,7592.06,5038.6
63,AXISBANK,2020,80057.67,0,0,5819.96,3830.11,64321.48,5280.05,1853.12
64,AXISBANK,2021,80847.94,0,0,6768.94,4192.13,59157.39,9750.09,7195.51
65,MARUTI,2018,82018.5,54945.3,673.4,2863.4,6755.3,2508.6,11166.9,7880
66,MARUTI,2019,88785.8,59346.6,863.3,3285,8390.3,3180.1,10623.8,7649.1
67,MARUTI,2020,79112.8,53402,699.5,3416.2,8456.3,2373.4,7102.8,5676
68,MARUTI,2021,73477.3,50550.5,476.6,3431.6,7924,2637.7,5321,4389.1
69,LT,2018,121442.84,40876.24,1399.62,15270.79,4583.27,37736.65,11639.16,7369.86
70,LT,2019,137920.9,46889.87,2205.6,17466.4,5083.67,40708.93,14304.67,8905.13
71,LT,2020,148467.83,46705.87,2079.84,23114,5266.74,43732.81,14085.52,9549.03
72,LT,2021,147646.3,41343.21,1581.33,24762.03,4201.97,44186.27,16917.7,11582.93
73,ULTRACEMCO,2018,31567.19,5399.98,6334.07,1810.24,8341.85,3294.05,3301.47,2222.17
74,ULTRACEMCO,2019,42072.79,6936.74,9436.14,2291.07,11582.16,4129.64,3468.45,2403.51
75,ULTRACEMCO,2020,43080.95,6875.89,8516.87,2519.86,11240.1,4031.2,5182.72,5755.26
76,ULTRACEMCO,2021,45605.06,6635.66,8331.18,2353.02,11268.06,4830.71,8000.55,5463.1
77,DMART,2018,15121,12846.95,121.26,282.59,96.55,333.04,1222.07,806.26
78,DMART,2019,20052.87,17445.49,152.8,355.42,136.59,280.93,1421.94,902.54
79,DMART,2020,24930.19,21441.68,188.24,456.1,120.27,535.6,1744.77,1301.08
